id,root_word_phrase,variants,often_combined_with,severity,context_why_avoid,synonyms,synonyms_that_rhyme,synonyms_same_syllables,frequency_score,weighted_score,phrase_type,analysis_source
1101,night long,night longs | night long | night's long | the night long | a night long,every | find | feel | late | darkest,CRITICAL,"Extremely overused phrase appearing 1390 times in dataset. Creates predictable, generic lyrics.",Nox | Night | nighttime | dark | foresightful | farsighted | tenacious | yearn,light | bright | sight | fight | right,,1390,1112,bigram,automated_detection
1102,can't seem,can't's seem | can't seem | a can't seem | the can't seem | can't seems,escape | love | free | find | way,CRITICAL,"Extremely overused phrase appearing 1097 times in dataset. Creates predictable, generic lyrics.",appear | look,,,1097,1097,bigram,automated_detection
1103,far away,far's away | a far away | far away | the far away | far awaies,fade | walk | slip | break,CRITICAL,"Extremely overused phrase appearing 1369 times in dataset. Creates predictable, generic lyrics.",ALIR | Interahamwe | Army for the Liberation of Rwanda | FAR | Former Armed Forces | forth | out | aside,,,1369,1095.2,bigram,automated_detection
1104,morning light,a morning light | morning light | morning lights | the morning light | morning's light,every | neon | find | city | guiding,CRITICAL,"Extremely overused phrase appearing 1368 times in dataset. Creates predictable, generic lyrics.",dawn | dawning | cockcrow | morn | break of day | idle | tripping | visible radiation,,,1368,1094.4,bigram,automated_detection
1202,can't let go,can't let go | can't's let go | a can't let go | the can't let go,escape | letting | love | free | find,CRITICAL,"Extremely overused phrase appearing 1093 times in dataset. Creates predictable, generic lyrics.",,,,1093,1093,trigram,automated_detection
1203,find way back,a find way back | find's way back | the find way back | find way back,can't | strength | light | lost | trying,CRITICAL,"Extremely overused phrase appearing 1093 times in dataset. Creates predictable, generic lyrics.",,,,1093,1093,trigram,automated_detection
1105,breaking chain,the breaking chain | breaking's chain | breaking chains | breaking chain | a breaking chain,free | break,CRITICAL,"Extremely overused phrase appearing 1092 times in dataset. Creates predictable, generic lyrics.",relegate | get around | split | dampen | break out | Ernst Boris Chain | concatenation | Sir Ernst Boris Chain,,,1092,1092,bigram,automated_detection
1106,take hand,take hand | take's hand | take hands | a take hand | the take hand,back | every | step | flight | breath,CRITICAL,"Extremely overused phrase appearing 1090 times in dataset. Creates predictable, generic lyrics.",payoff | engage | take in | guide | deal | pass on | reach | deal,,,1090,1090,bigram,automated_detection
1107,love can't,the love can't | a love can't | love's can't | love can'ts | love can't,escape | free | that's | find | way,CRITICAL,"Extremely overused phrase appearing 897 times in dataset. Creates predictable, generic lyrics.",dear | screw | get it on | fuck | bang,above | dove | shove,,897,1076.4,bigram,automated_detection
1108,close eye,the close eye | a close eye | close eyes | close eye | close's eye,see | hold,CRITICAL,"Extremely overused phrase appearing 1068 times in dataset. Creates predictable, generic lyrics.",come together | ending | secretive | fold | closemouthed | optic | middle | heart,,,1068,1068,bigram,automated_detection
1109,free chain,free chain | a free chain | free's chain | free chains | the free chain,can't | wild | break | breaking | set,CRITICAL,"Extremely overused phrase appearing 1060 times in dataset. Creates predictable, generic lyrics.",disembarrass | relieve | liberal | relinquish | destitute | Ernst Boris Chain | concatenation | Sir Ernst Boris Chain,,,1060,1060,bigram,automated_detection
1110,know know,the know know | a know know | know know | know knows | know's know,name,CRITICAL,"Extremely overused phrase appearing 1057 times in dataset. Creates predictable, generic lyrics.",screw | get it on | fuck | cognize | bang | screw | get it on | fuck,,,1057,1057,bigram,automated_detection
1111,slip away,a slip away | slip awaies | slip away | slip's away | the slip away,fade | walk | far | break,CRITICAL,"Extremely overused phrase appearing 1310 times in dataset. Creates predictable, generic lyrics.",mooring | pillowcase | faux pas | gaffe | miscue | forth | out | aside,,,1310,1048,bigram,automated_detection
1112,every move,a every move | every's move | every moves | every move | the every move,scar | touch | feel | light | tear,CRITICAL,"Extremely overused phrase appearing 1045 times in dataset. Creates predictable, generic lyrics.",travel | run | movement | incite | proceed,,,1045,1045,bigram,automated_detection
1113,back time,a back time | back time | back's time | back times | the back time,every | find | way | take | come,CRITICAL,"Extremely overused phrase appearing 1038 times in dataset. Creates predictable, generic lyrics.",binding | hind | hinder | rearwards | second | sentence | fourth dimension | prison term,rhyme | climb | prime | sublime,,1038,1038,bigram,automated_detection
1114,every storm,a every storm | every storm | every's storm | every storms | the every storm,move | scar | touch | feel | light,CRITICAL,"Extremely overused phrase appearing 1037 times in dataset. Creates predictable, generic lyrics.",ramp | violent storm | tempest | rage | force,,,1037,1037,bigram,automated_detection
1115,word say,word saies | word's say | word say | a word say | the word say,every | goodbye,CRITICAL,"Extremely overused phrase appearing 1033 times in dataset. Creates predictable, generic lyrics.",word of honor | watchword | Scripture | Bible | phrase | enounce | pronounce | read,,,1033,1033,bigram,automated_detection
1116,holding tight,a holding tight | holding tights | holding tight | holding's tight | the holding tight,hold | onto,CRITICAL,"Extremely overused phrase appearing 1032 times in dataset. Creates predictable, generic lyrics.",take for | retention | control | declare | keep | sloshed | pixilated | mean,,,1032,1032,bigram,automated_detection
1204,can't find way,can't's find way | a can't find way | the can't find way | can't find way,free | strength | feel | light | night,CRITICAL,"Extremely overused phrase appearing 1031 times in dataset. Creates predictable, generic lyrics.",,,,1031,1031,trigram,automated_detection
1117,burning bright,burning brights | a burning bright | burning's bright | the burning bright | burning bright,shining | shine | fire,CRITICAL,"Extremely overused phrase appearing 1027 times in dataset. Creates predictable, generic lyrics.",cauterize | cauterise | combustion | fire | sunburn | brilliant | brilliantly | smart,,,1027,1027,bigram,automated_detection
1118,living like,living's like | living like | the living like | a living like | living likes,love | feeling | feel | life | moment,CRITICAL,"Extremely overused phrase appearing 1020 times in dataset. Creates predictable, generic lyrics.",animation | sustenance | keep | live | endure | alike | corresponding | the like,,,1020,1020,bigram,automated_detection
1119,back home,back homes | the back home | back home | back's home | a back home,find | way | take | come | looking,CRITICAL,"Extremely overused phrase appearing 1012 times in dataset. Creates predictable, generic lyrics.",binding | hind | hinder | rearwards | second | menage | home base | dwelling,,,1012,1012,bigram,automated_detection
1120,lost shadow,a lost shadow | lost's shadow | the lost shadow | lost shadows | lost shadow,way | echo | light | chasing | maze,CRITICAL,"Extremely overused phrase appearing 1010 times in dataset. Creates predictable, generic lyrics.",miss | misplace | befuddled | disoriented | confused | shade | shade off | trace,,,1010,1010,bigram,automated_detection
1121,like ghost,a like ghost | the like ghost | like's ghost | like ghost | like ghosts,love | feeling | feel | moment | star,CRITICAL,"Extremely overused phrase appearing 992 times in dataset. Creates predictable, generic lyrics.",alike | corresponding | the like | the likes of | care | shade | trace | haunt,,,992,992,bigram,automated_detection
1122,can't hide,can't hide | a can't hide | can't's hide | the can't hide | can't hides,escape | love | free | find | way,CRITICAL,"Extremely overused phrase appearing 989 times in dataset. Creates predictable, generic lyrics.",hide out | cover | enshroud | blot out | skin,,,989,989,bigram,automated_detection
1123,ah ah,ah ahs | ah's ah | the ah ah | a ah ah | ah ah,,CRITICAL,"Extremely overused phrase appearing 988 times in dataset. Creates predictable, generic lyrics.",,,,988,988,bigram,automated_detection
1124,take back,take's back | a take back | the take back | take backs | take back,flight | every | find | way | could,CRITICAL,"Extremely overused phrase appearing 980 times in dataset. Creates predictable, generic lyrics.",payoff | engage | take in | guide | deal | binding | hind | hinder,,,980,980,bigram,automated_detection
1125,guiding light,guiding lights | guiding's light | guiding light | the guiding light | a guiding light,every | neon | find | city | morning,CRITICAL,"Extremely overused phrase appearing 1220 times in dataset. Creates predictable, generic lyrics.",run | maneuver | guide | draw | directional | idle | tripping | visible radiation,,,1220,976,bigram,automated_detection
1126,everything feel,a everything feel | everything feel | everything feels | the everything feel | everything's feel,can't | love | every | right | still,CRITICAL,"Extremely overused phrase appearing 962 times in dataset. Creates predictable, generic lyrics.",flavor | palpate | find | feeling | spirit,,,962,962,bigram,automated_detection
1127,let love,let's love | let love | let loves | the let love | a let love,can't | that's | find | feel | go,CRITICAL,"Extremely overused phrase appearing 800 times in dataset. Creates predictable, generic lyrics.",permit | allow | countenance | lease | get | dear | screw | get it on,above | dove | shove,,800,960,bigram,automated_detection
1128,night day,night's day | the night day | night day | a night day | night daies,every | another | find | feel | late,CRITICAL,"Extremely overused phrase appearing 1495 times in dataset. Creates predictable, generic lyrics.",Nox | Night | nighttime | dark | solar day | Day | Clarence Shepard Day Jr. | 24-hour interval,light | bright | sight | fight | right,,1495,956.8,bigram,automated_detection
1129,every kiss,every's kiss | the every kiss | every kisses | every kiss | a every kiss,move | scar | touch | feel | light,CRITICAL,"Extremely overused phrase appearing 956 times in dataset. Creates predictable, generic lyrics.",osculate | snog | osculation | candy kiss | buss,,,956,956,bigram,automated_detection
1130,u apart,u aparts | the u apart | a u apart | u apart | u's apart,torn | tearing | fall,CRITICAL,"Extremely overused phrase appearing 953 times in dataset. Creates predictable, generic lyrics.",atomic number 92 | uracil | U | uranium | asunder | aside | obscure | isolated,,,953,953,bigram,automated_detection
1131,feel weight,feel weight | a feel weight | feel weights | the feel weight | feel's weight,can't | love | every | right | everything,CRITICAL,"Extremely overused phrase appearing 946 times in dataset. Creates predictable, generic lyrics.",flavor | palpate | find | feeling | spirit | weighting | burden | burthen,,,946,946,bigram,automated_detection
1132,shadow night,shadow nights | the shadow night | shadow's night | shadow night | a shadow night,every | find | feel | late | darkest,CRITICAL,"Extremely overused phrase appearing 1180 times in dataset. Creates predictable, generic lyrics.",shade | shade off | trace | phantom | tincture | Nox | Night | nighttime,light | bright | sight | fight | right,,1180,944,bigram,automated_detection
1133,take flight,take flight | take's flight | take flights | the take flight | a take flight,back | every | step | breath | hand,CRITICAL,"Extremely overused phrase appearing 1180 times in dataset. Creates predictable, generic lyrics.",payoff | engage | take in | guide | deal | escape | flying | fledge,,,1180,944,bigram,automated_detection
1134,can't get,can't get | a can't get | the can't get | can't's get | can't gets,escape | love | free | find | way,CRITICAL,"Extremely overused phrase appearing 943 times in dataset. Creates predictable, generic lyrics.",mystify | draw | induce | begin | set out,,,943,943,bigram,automated_detection
1135,see love,a see love | the see love | see loves | see's love | see love,can't | find | feel | light | face,CRITICAL,"Extremely overused phrase appearing 782 times in dataset. Creates predictable, generic lyrics.",insure | pick up | take in | find out | control | dear | screw | get it on,above | dove | shove,,782,938.4,bigram,automated_detection
1136,side side,side side | a side side | side's side | the side side | side sides,,CRITICAL,"Extremely overused phrase appearing 936 times in dataset. Creates predictable, generic lyrics.",English | slope | position | face | incline | English | slope | position,,,936,936,bigram,automated_detection
1137,silent scream,silent's scream | silent scream | a silent scream | the silent scream | silent screams,,CRITICAL,"Extremely overused phrase appearing 933 times in dataset. Creates predictable, generic lyrics.",soundless | dumb | mute | unsounded | understood | belly laugh | screeching | wow,,,933,933,bigram,automated_detection
1138,lost way,lost waies | a lost way | lost's way | lost way | the lost way,can't | find | echo | maze | back,CRITICAL,"Extremely overused phrase appearing 933 times in dataset. Creates predictable, generic lyrics.",miss | misplace | befuddled | disoriented | confused | path | means | agency,day | say | play | stay,,933,933,bigram,automated_detection
1205,trying find way,trying's find way | trying find way | the trying find way | a trying find way,can't | peace | strength | love | light,CRITICAL,"Extremely overused phrase appearing 923 times in dataset. Creates predictable, generic lyrics.",,,,923,923,trigram,automated_detection
1139,find love,find's love | a find love | the find love | find love | find loves,can't | peace | strength | way | feel,CRITICAL,"Extremely overused phrase appearing 769 times in dataset. Creates predictable, generic lyrics.",find out | recover | rule | find oneself | uncovering | dear | screw | get it on,above | dove | shove,,769,922.8,bigram,automated_detection
1140,night feel,night feel | night feels | a night feel | night's feel | the night feel,can't | right | everything | heart | moment,CRITICAL,"Extremely overused phrase appearing 1152 times in dataset. Creates predictable, generic lyrics.",Nox | Night | nighttime | dark | flavor | palpate | find | feeling,light | bright | sight | fight | right,,1152,921.6,bigram,automated_detection
1141,story told,story told | a story told | the story told | story tolds | story's told,,CRITICAL,"Extremely overused phrase appearing 907 times in dataset. Creates predictable, generic lyrics.",fib | level | report | history | taradiddle | tell apart | recite | separate,,,907,907,bigram,automated_detection
1142,found way,found's way | the found way | found way | found waies | a found way,back | lost | can't | trying | find,CRITICAL,"Extremely overused phrase appearing 903 times in dataset. Creates predictable, generic lyrics.",find out | recover | rule | find oneself | notice | path | means | agency,day | say | play | stay,,903,903,bigram,automated_detection
1143,world cold,the world cold | world's cold | a world cold | world cold | world colds,see | that's | feel,CRITICAL,"Extremely overused phrase appearing 900 times in dataset. Creates predictable, generic lyrics.",humans | humanity | worldwide | populace | man | dusty | common cold | low temperature,,,900,900,bigram,automated_detection
1144,deep within,deep within | deep withins | a deep within | the deep within | deep's within,lost | inside | cut,CRITICAL,"Extremely overused phrase appearing 900 times in dataset. Creates predictable, generic lyrics.",mystifying | inscrutable | abstruse | late | recondite | inside,,,900,900,bigram,automated_detection
1145,living edge,living's edge | the living edge | living edge | a living edge | living edges,like | life | dream | moment,CRITICAL,"Extremely overused phrase appearing 898 times in dataset. Creates predictable, generic lyrics.",animation | sustenance | keep | live | endure | butt on | sharpness | bound,,,898,898,bigram,automated_detection
1146,let's go,a let's go | the let's go | let's gos | let's's go | let's go,letting | can't | never | make | let,CRITICAL,"Extremely overused phrase appearing 889 times in dataset. Creates predictable, generic lyrics.",travel | run | croak | spell | Adam,,,889,889,bigram,automated_detection
1147,endless fight,the endless fight | endless's fight | endless fight | endless fights | a endless fight,night,CRITICAL,"Extremely overused phrase appearing 883 times in dataset. Creates predictable, generic lyrics.",eternal | sempiternal | interminable | dateless | battle | combat | push | engagement,,,883,883,bigram,automated_detection
1148,know name,the know name | know names | know name | a know name | know's name,call,CRITICAL,"Extremely overused phrase appearing 882 times in dataset. Creates predictable, generic lyrics.",screw | get it on | fuck | cognize | bang | mention | bring up | gens,,,882,882,bigram,automated_detection
1149,torn apart,torn aparts | torn's apart | torn apart | a torn apart | the torn apart,u | tearing | fall,CRITICAL,"Extremely overused phrase appearing 882 times in dataset. Creates predictable, generic lyrics.",pluck | buck | rupture | deplume | pull | asunder | aside | obscure,,,882,882,bigram,automated_detection
1206,can't break free,can't break free | can't's break free | the can't break free | a can't break free,escape | wild | love | find | chain,CRITICAL,"Extremely overused phrase appearing 868 times in dataset. Creates predictable, generic lyrics.",,,,868,868,trigram,automated_detection
1150,lose control,the lose control | lose control | a lose control | lose's control | lose controls,,CRITICAL,"Extremely overused phrase appearing 867 times in dataset. Creates predictable, generic lyrics.",drop off | mislay | miss | recede | suffer | verify | insure | control condition,,,867,867,bigram,automated_detection
1151,every corner,a every corner | every's corner | every corners | every corner | the every corner,move | scar | touch | feel | light,CRITICAL,"Extremely overused phrase appearing 866 times in dataset. Creates predictable, generic lyrics.",street corner | recession | tree | nook | quoin,,,866,866,bigram,automated_detection
1152,silence night,a silence night | silence night | silence nights | the silence night | silence's night,every | find | feel | late | darkest,CRITICAL,"Extremely overused phrase appearing 1081 times in dataset. Creates predictable, generic lyrics.",secretiveness | secrecy | hush | quiet | hush up | Nox | Night | nighttime,light | bright | sight | fight | right,,1081,864.8,bigram,automated_detection
1153,every beat,every's beat | a every beat | the every beat | every beat | every beats,move | scar | touch | feel | heart,CRITICAL,"Extremely overused phrase appearing 860 times in dataset. Creates predictable, generic lyrics.",bushed | round | mystify | circumvent | thump,,,860,860,bigram,automated_detection
1154,round round,round rounds | the round round | round's round | round round | a round round,,CRITICAL,"Extremely overused phrase appearing 856 times in dataset. Creates predictable, generic lyrics.",one shot | bout | pear-shaped | circle | brush up | one shot | bout | pear-shaped,,,856,856,bigram,automated_detection
1155,make whole,make whole | make's whole | a make whole | the make whole | make wholes,right | let's | feel,CRITICAL,"Extremely overused phrase appearing 855 times in dataset. Creates predictable, generic lyrics.",wee | take in | form | micturate | draw | hale | all | completely,,,855,855,bigram,automated_detection
1156,lost maze,lost's maze | the lost maze | lost mazes | lost maze | a lost maze,echo | way | shadow | within,CRITICAL,"Extremely overused phrase appearing 854 times in dataset. Creates predictable, generic lyrics.",miss | misplace | befuddled | disoriented | confused | snarl | labyrinth | tangle,,,854,854,bigram,automated_detection
1157,never end,never end | a never end | never ends | never's end | the never end,alone | love | fade | go | let,CRITICAL,"Extremely overused phrase appearing 853 times in dataset. Creates predictable, generic lyrics.",ne'er | goal | close | final stage | last | terminate,,,853,853,bigram,automated_detection
1158,world that's,the world that's | world's that's | world that's | a world that's | world that'ses,cold | love | see | feel,CRITICAL,"Extremely overused phrase appearing 852 times in dataset. Creates predictable, generic lyrics.",humans | humanity | worldwide | populace | man,,,852,852,bigram,automated_detection
1159,come alive,come's alive | come alives | come alive | a come alive | the come alive,back | may | feel,CRITICAL,"Extremely overused phrase appearing 851 times in dataset. Creates predictable, generic lyrics.",occur | derive | issue forth | do | amount | active | animated | alert,,,851,851,bigram,automated_detection
1160,let's make,a let's make | the let's make | let's make | let's makes | let's's make,right | whole | go | feel,CRITICAL,"Extremely overused phrase appearing 849 times in dataset. Creates predictable, generic lyrics.",wee | take in | form | micturate | draw,,,849,849,bigram,automated_detection
1161,fall apart,fall apart | the fall apart | fall aparts | fall's apart | a fall apart,rise | tearing | torn | u,CRITICAL,"Extremely overused phrase appearing 843 times in dataset. Creates predictable, generic lyrics.",hang | devolve | return | flow | pin | asunder | aside | obscure,,,843,843,bigram,automated_detection
1162,touch sky,touch sky | touch skies | touch's sky | the touch sky | a touch sky,every,CRITICAL,"Extremely overused phrase appearing 839 times in dataset. Creates predictable, generic lyrics.",trace | contact | match | touch on | tinge | flip | toss | pitch,,,839,839,bigram,automated_detection
1163,stay true,a stay true | stay trues | stay true | stay's true | the stay true,,CRITICAL,"Extremely overused phrase appearing 838 times in dataset. Creates predictable, generic lyrics.",outride | appease | stay on | halt | rest | on-key | reliable | confessedly,,,838,838,bigram,automated_detection
1164,shadow mind,shadow mind | shadow minds | shadow's mind | the shadow mind | a shadow mind,like | lost | echo | chasing | light,CRITICAL,"Extremely overused phrase appearing 834 times in dataset. Creates predictable, generic lyrics.",shade | shade off | trace | phantom | tincture | idea | judgment | psyche,,,834,834,bigram,automated_detection
1165,living moment,living moment | a living moment | living moments | the living moment | living's moment,like | every | edge | feel | life,CRITICAL,"Extremely overused phrase appearing 834 times in dataset. Creates predictable, generic lyrics.",animation | sustenance | keep | live | endure | present moment | instant | here and now,,,834,834,bigram,automated_detection
1166,feeling like,feeling likes | feeling's like | the feeling like | a feeling like | feeling like,love | feel | moment | ghost | star,CRITICAL,"Extremely overused phrase appearing 829 times in dataset. Creates predictable, generic lyrics.",touch | flavour | sense | notion | belief | alike | corresponding | the like,,,829,829,bigram,automated_detection
1167,together stand,together stands | the together stand | together stand | together's stand | a together stand,alone | rise | tall | ground,CRITICAL,"Extremely overused phrase appearing 829 times in dataset. Creates predictable, generic lyrics.",unitedly | in concert | fend | remain firm | pedestal | endure | tie-up,,,829,829,bigram,automated_detection
1168,holding onto,holding onto | holding ontos | holding's onto | a holding onto | the holding onto,tight,CRITICAL,"Extremely overused phrase appearing 825 times in dataset. Creates predictable, generic lyrics.",take for | retention | control | declare | keep,,,825,825,bigram,automated_detection
1169,caught web,a caught web | caught webs | caught's web | the caught web | caught web,,CRITICAL,"Extremely overused phrase appearing 823 times in dataset. Creates predictable, generic lyrics.",beguile | pick up | take in | capture | overhear | network | net | World Wide Web,,,823,823,bigram,automated_detection
1170,hold hand,a hold hand | hold hand | the hold hand | hold hands | hold's hand,close | tight | take,CRITICAL,"Extremely overused phrase appearing 803 times in dataset. Creates predictable, generic lyrics.",take for | appreciation | grip | cargo hold | control | pass on | reach | deal,,,803,803,bigram,automated_detection
1171,never alone,the never alone | a never alone | never alones | never alone | never's alone,love | fade | end | stand | go,CRITICAL,"Extremely overused phrase appearing 803 times in dataset. Creates predictable, generic lyrics.",ne'er | unique | unequaled | entirely | lonely | lone,,,803,803,bigram,automated_detection
1172,stand ground,stand's ground | stand ground | a stand ground | the stand ground | stand grounds,alone | together | tall,CRITICAL,"Extremely overused phrase appearing 802 times in dataset. Creates predictable, generic lyrics.",fend | remain firm | pedestal | endure | tie-up | primer | dig | labor,,,802,802,bigram,automated_detection
1173,together rise,together rises | together rise | a together rise | the together rise | together's rise,stand | fall,CRITICAL,"Extremely overused phrase appearing 796 times in dataset. Creates predictable, generic lyrics.",unitedly | in concert | jump | rising slope | wage increase | salary increase | originate,,,796,796,bigram,automated_detection
1174,lost within,a lost within | lost's within | the lost within | lost within | lost withins,deep | way | shadow | echo | maze,CRITICAL,"Extremely overused phrase appearing 796 times in dataset. Creates predictable, generic lyrics.",miss | misplace | befuddled | disoriented | confused | inside,,,796,796,bigram,automated_detection
1175,chasing shadow,a chasing shadow | chasing shadows | the chasing shadow | chasing shadow | chasing's shadow,like | lost | mind | dream | light,CRITICAL,"Extremely overused phrase appearing 795 times in dataset. Creates predictable, generic lyrics.",dog | trail | chase after | tag | chase | shade | shade off | trace,,,795,795,bigram,automated_detection
1176,stand alone,the stand alone | stand alones | stand's alone | stand alone | a stand alone,together | never | tall | ground,CRITICAL,"Extremely overused phrase appearing 791 times in dataset. Creates predictable, generic lyrics.",fend | remain firm | pedestal | endure | tie-up | unique | unequaled | entirely,,,791,791,bigram,automated_detection
1177,can't feel,can't feel | a can't feel | can't's feel | the can't feel | can't feels,free | way | right | everything | heart,CRITICAL,"Extremely overused phrase appearing 790 times in dataset. Creates predictable, generic lyrics.",flavor | palpate | find | feeling | spirit,,,790,790,bigram,automated_detection
1178,keep moving,keep moving | keep's moving | keep movings | the keep moving | a keep moving,,CRITICAL,"Extremely overused phrase appearing 782 times in dataset. Creates predictable, generic lyrics.",donjon | sustenance | go on | preserve | sustain | travel | run | incite,,,782,782,bigram,automated_detection
1179,another day,another daies | another day | a another day | the another day | another's day,brighter | every | one | night,CRITICAL,"Extremely overused phrase appearing 975 times in dataset. Creates predictable, generic lyrics.",some other | solar day | Day | Clarence Shepard Day Jr. | 24-hour interval | twenty-four hours,,,975,780,bigram,automated_detection
1180,like shadow,a like shadow | like's shadow | like shadow | the like shadow | like shadows,love | feeling | feel | light | chasing,CRITICAL,"Extremely overused phrase appearing 780 times in dataset. Creates predictable, generic lyrics.",alike | corresponding | the like | the likes of | care | shade | shade off | trace,,,780,780,bigram,automated_detection
1181,night every,night everies | night's every | night every | a night every | the night every,move | scar | touch | feel | light,CRITICAL,"Extremely overused phrase appearing 974 times in dataset. Creates predictable, generic lyrics.",Nox | Night | nighttime | dark,light | bright | sight | fight | right,,974,779.2,bigram,automated_detection
1182,hear call,hear call | hear's call | a hear call | the hear call | hear calls,voice | name,CRITICAL,"Extremely overused phrase appearing 777 times in dataset. Creates predictable, generic lyrics.",pick up | get a line | get word | take heed | find out | birdsong | ring | promise,,,777,777,bigram,automated_detection
1183,echo mind,a echo mind | echo minds | echo's mind | the echo mind | echo mind,laughter | lost | past | shadow,CRITICAL,"Extremely overused phrase appearing 776 times in dataset. Creates predictable, generic lyrics.",reverberation | ring | recall | repeat | Echo | idea | judgment | psyche,,,776,776,bigram,automated_detection
1184,walk away,walk's away | walk awaies | the walk away | walk away | a walk away,slip | fade | far | break,CRITICAL,"Extremely overused phrase appearing 968 times in dataset. Creates predictable, generic lyrics.",walk of life | base on balls | walkway | walking | paseo | forth | out | aside,,,968,774.4,bigram,automated_detection
1185,whoa-oh whoa-oh,whoa-oh whoa-ohs | whoa-oh's whoa-oh | whoa-oh whoa-oh | the whoa-oh whoa-oh | a whoa-oh whoa-oh,,CRITICAL,"Extremely overused phrase appearing 773 times in dataset. Creates predictable, generic lyrics.",,,,773,773,bigram,automated_detection
1186,hear voice,the hear voice | hear voices | hear voice | a hear voice | hear's voice,call,CRITICAL,"Extremely overused phrase appearing 771 times in dataset. Creates predictable, generic lyrics.",pick up | get a line | get word | take heed | find out | vocalization | vocalisation | articulation,,,771,771,bigram,automated_detection
1187,echo laughter,echo laughter | echo laughters | a echo laughter | echo's laughter | the echo laughter,lost | mind | past,CRITICAL,"Extremely overused phrase appearing 771 times in dataset. Creates predictable, generic lyrics.",reverberation | ring | recall | repeat | Echo | laugh,,,771,771,bigram,automated_detection
1207,every tear every,every's tear every | every tear every | the every tear every | a every tear every,move | scar | touch | feel | light,CRITICAL,"Extremely overused phrase appearing 514 times in dataset. Creates predictable, generic lyrics.",,,,514,771,trigram,automated_detection
1188,still feel,still feels | still feel | a still feel | the still feel | still's feel,can't | love | every | right | everything,CRITICAL,"Extremely overused phrase appearing 763 times in dataset. Creates predictable, generic lyrics.",nevertheless | tranquillize | relieve | calm down | stock-still | flavor | palpate | find,,,763,763,bigram,automated_detection
1189,brighter day,a brighter day | brighter's day | the brighter day | brighter daies | brighter day,every | one | another | night,CRITICAL,"Extremely overused phrase appearing 952 times in dataset. Creates predictable, generic lyrics.",bright | brilliant | smart | shining | shiny | solar day | Day | Clarence Shepard Day Jr.,,,952,761.6,bigram,automated_detection
1190,see world,the see world | see worlds | a see world | see's world | see world,can't | love | feel | light | face,CRITICAL,"Extremely overused phrase appearing 761 times in dataset. Creates predictable, generic lyrics.",insure | pick up | take in | find out | control | humans | humanity | worldwide,,,761,761,bigram,automated_detection
1191,feel beat,the feel beat | feel beats | feel beat | a feel beat | feel's beat,can't | love | every | right | everything,CRITICAL,"Extremely overused phrase appearing 760 times in dataset. Creates predictable, generic lyrics.",flavor | palpate | find | feeling | spirit | bushed | round | mystify,,,760,760,bigram,automated_detection
1208,every moment feel,every's moment feel | the every moment feel | every moment feel | a every moment feel,move | can't | scar | right | touch,CRITICAL,"Extremely overused phrase appearing 748 times in dataset. Creates predictable, generic lyrics.",,,,748,748,trigram,automated_detection
1192,light every,light everies | light's every | the light every | light every | a light every,move | neon | scar | touch | feel,CRITICAL,"Extremely overused phrase appearing 934 times in dataset. Creates predictable, generic lyrics.",idle | tripping | visible radiation | light source | light up,,,934,747.2,bigram,automated_detection
1193,night find,night's find | a night find | night find | night finds | the night find,can't | strength | way | feel | light,CRITICAL,"Extremely overused phrase appearing 931 times in dataset. Creates predictable, generic lyrics.",Nox | Night | nighttime | dark | find out | recover | rule | find oneself,light | bright | sight | fight | right,,931,744.8,bigram,automated_detection
1209,turn back time,turn back time | the turn back time | a turn back time | turn's back time,every | find | way | take | come,CRITICAL,"Extremely overused phrase appearing 733 times in dataset. Creates predictable, generic lyrics.",,,,733,733,trigram,automated_detection
1194,searching light,the searching light | searching light | a searching light | searching lights | searching's light,every | neon | find | city | morning,CRITICAL,"Extremely overused phrase appearing 899 times in dataset. Creates predictable, generic lyrics.",look for | probing | explore | inquisitory | search | idle | tripping | visible radiation,,,899,719.2,bigram,automated_detection
1195,dead night,dead nights | dead night | dead's night | a dead night | the dead night,every | find | feel | late | darkest,CRITICAL,"Extremely overused phrase appearing 875 times in dataset. Creates predictable, generic lyrics.",idle | bushed | utter | short | abruptly | Nox | Night | nighttime,light | bright | sight | fight | right,,875,700,bigram,automated_detection
1210,everything feel right,everything feel right | the everything feel right | a everything feel right | everything's feel right,can't | love | every | beat | still,CRITICAL,"Extremely overused phrase appearing 665 times in dataset. Creates predictable, generic lyrics.",,,,665,665,trigram,automated_detection
1211,every breath take,a every breath take | every's breath take | every breath take | the every breath take,move | scar | touch | feel | night,CRITICAL,"Extremely overused phrase appearing 657 times in dataset. Creates predictable, generic lyrics.",,,,657,657,trigram,automated_detection
1212,could turn back,could's turn back | could turn back | the could turn back | a could turn back,find | way | take | come | wish,CRITICAL,"Extremely overused phrase appearing 646 times in dataset. Creates predictable, generic lyrics.",,,,646,646,trigram,automated_detection
1196,fire burning,a fire burning | fire's burning | the fire burning | fire burning | fire burnings,bright,CRITICAL,"Extremely overused phrase appearing 807 times in dataset. Creates predictable, generic lyrics.",dismiss | send away | flack | can | fervor | cauterize | cauterise | combustion,desire | higher | wire | tire,,807,645.6,bigram,automated_detection
